Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDQ47,OUT046,714.0
DRN36,OUT049,1657.0
NCY06,OUT035,2338.5
FDE52,OUT035,1707.5
NCB54,OUT045,1895.5
NCF31,OUT035,2416.5
FDJ08,OUT027,4417.75
NCC07,OUT017,1667.75
NCD19,OUT027,2251.75
FDL46,OUT049,1908.5
FDM20,OUT045,3763.5
NCI06,OUT010,697.5
DRM11,OUT035,4424.5
NCH07,OUT018,1956.25
FDS23,OUT013,2115.25
FDO49,OUT018,644.25
FDS35,OUT049,1178.0
DRK39,OUT045,1311.5
DRI39,OUT049,1180.0
FDV04,OUT017,2645.75
NCN14,OUT035,3013.5
FDH08,OUT013,3653.25
FDS20,OUT046,2937.5
FDV40,OUT049,1344.0
FDZ48,OUT010,89.75
FDS24,OUT027,2898.75
FDK44,OUT049,2924.0
FDS48,OUT045,2320.5
FDK26,OUT010,1166.75
FDD23,OUT045,3000.5
NCH54,OUT017,2373.75
NCP14,OUT010,195.0
FDM60,OUT010,1309.25
FDV24,OUT017,2527.75
FDH08,OUT018,3312.25
FDS12,OUT027,3444.75
FDR39,OUT027,4346.75
FDP12,OUT027,2060.75
DRF60,OUT027,5177.75
FDC09,OUT035,1905.5
FDF50,OUT018,2866.25
FDG28,OUT035,3964.5
NCE19,OUT017,1011.75
NCM53,OUT010,101.75
NCN18,OUT049,1909.5
FDF32,OUT035,3310.5
FDF11,OUT013,3844.25
DRI59,OUT049,3700.0
NCG54,OUT035,2774.5
FDM44,OUT046,1577.75
FDT57,OUT018,3368.25
FDV24,OUT046,2419.5
FDI50,OUT019,1897.75
FDS09,OUT035,1044.5
NCC31,OUT027,3758.75
FDQ07,OUT019,1660.75
FDC22,OUT017,3169.75
FDZ56,OUT046,2806.25
FDZ40,OUT019,973.25
FDS46,OUT027,3388.75
DRD24,OUT045,2130.5
FDV45,OUT017,3137.75
FDL26,OUT045,2353.5
FDA56,OUT018,1736.25
FDN27,OUT046,1841.0
FDM20,OUT049,3905.0
FDO16,OUT017,1359.75
FDL03,OUT035,3229.5
FDE58,OUT046,1996.75
FDI02,OUT027,3440.75
NCC55,OUT019,1414.25
FDR03,OUT018,3096.25
FDB14,OUT017,1723.75
FDR45,OUT013,3881.25
NCN07,OUT017,2163.75
FDM51,OUT019,298.25
FDT52,OUT027,5219.75
FDL26,OUT046,2391.25
NCZ42,OUT046,3950.25
DRI47,OUT019,462.75
FDW40,OUT013,2230.25
FDN34,OUT046,2659.25
FDS01,OUT035,3024.5
NCG55,OUT045,1738.5
FDC11,OUT035,1551.5
FDX35,OUT018,3396.25
NCB06,OUT046,2470.75
FDR09,OUT019,2196.75
FDC53,OUT017,1655.75
FDY45,OUT013,4195.25
FDA22,OUT010,717.25
FDE02,OUT035,1829.5
FDW21,OUT045,1545.5
FDV34,OUT046,1291.25
FDS59,OUT049,1925.0
NCW17,OUT017,2023.75
NCK54,OUT046,1927.75
FDG17,OUT019,1903.75
FDG35,OUT017,2839.75
FDD08,OUT010,1198.25
NCO07,OUT017,3453.75
FDJ10,OUT010,299.5
FDW36,OUT017,1699.75
FDW21,OUT010,326.75
FDY19,OUT017,2173.75
DRE03,OUT013,795.25
NCC55,OUT049,591.0
FDH52,OUT010,940.75
FDO09,OUT017,4233.75
FDU43,OUT045,3821.5
FDX09,OUT010,861.75
FDH40,OUT019,649.25
FDW58,OUT017,1725.75
FDC47,OUT017,3677.75
NCR41,OUT035,1688.5
DRG49,OUT035,4103.5
FDC52,OUT027,3858.75
FDY13,OUT046,1383.75
FDY35,OUT013,1002.25
FDI35,OUT017,3117.75
NCU18,OUT049,2600.5
FDY33,OUT018,2428.25
FDC15,OUT027,3852.75
FDU01,OUT049,3150.5
NCU42,OUT046,2947.75
NCV29,OUT018,2632.25
NCY30,OUT017,3141.75
FDQ46,OUT049,1926.5
FDG58,OUT027,3873.75
FDK33,OUT017,3521.75
NCD07,OUT045,1694.5
NCX29,OUT027,3685.75
NCT42,OUT013,2305.25
DRN59,OUT035,805.5
FDI44,OUT035,1597.5
FDA45,OUT049,2876.0
FDP31,OUT045,1028.5
FDY01,OUT046,2027.25
FDT09,OUT018,1810.25
DRH03,OUT027,2920.75
FDA36,OUT018,2676.25
NCF31,OUT017,2377.75
FDG14,OUT049,2528.5
FDG28,OUT027,5278.75
FDU14,OUT049,3996.5
FDY47,OUT019,381.75
FDI56,OUT049,1716.0
DRD01,OUT013,969.25
FDM22,OUT046,852.25
FDH33,OUT013,651.25
DRZ24,OUT013,1849.25
NCQ38,OUT046,1712.25
FDO16,OUT027,2718.75
FDU07,OUT027,3880.75
NCB07,OUT013,3077.25
FDU48,OUT045,2060.5
NCM43,OUT045,2610.5
FDR31,OUT010,498.25
DRK49,OUT018,494.25
NCI30,OUT010,1693.25
DRD60,OUT017,2927.75
NCG19,OUT046,3625.0
FDH12,OUT035,1739.5
FDM32,OUT035,1588.5
FDM27,OUT035,2571.5
NCU53,OUT027,4298.75
NCQ18,OUT046,1649.25
FDS10,OUT013,2888.25
FDB33,OUT027,4050.75
FDI12,OUT013,1590.25
NCW42,OUT013,3437.25
NCC06,OUT018,1650.25
FDW02,OUT017,2023.75
NCD43,OUT017,1697.75
FDM57,OUT018,1028.25
FDA58,OUT017,3805.75
FDK56,OUT046,2989.75
FDP52,OUT045,3555.5
FDW20,OUT018,1702.25
FDS52,OUT049,1695.5
NCT29,OUT018,1522.25
NCL54,OUT013,2995.25
FDC05,OUT045,3084.5
FDF34,OUT035,3291.5
FDP03,OUT027,3444.75
FDD32,OUT010,446.25
FDZ10,OUT045,2042.5
FDZ40,OUT035,1099.5
FDD51,OUT018,424.25
NCY30,OUT019,1073.75
FDP58,OUT017,3479.75
FDV49,OUT017,4345.75
FDY24,OUT019,911.25
NCO55,OUT017,1815.75
FDR13,OUT017,2091.75
FDS51,OUT017,1141.75
FDP26,OUT045,1479.5
NCB54,OUT027,3439.75
FDF32,OUT017,3227.75
FDN31,OUT018,2702.25
DRM48,OUT017,1001.75
FDN20,OUT049,2760.0
DRL01,OUT046,3644.25
FDV56,OUT049,1954.0
DRH13,OUT027,3149.75
FDA03,OUT017,2381.75
FDF47,OUT027,4936.75
FDX32,OUT046,2419.5
FDX57,OUT049,1714.5
NCA30,OUT045,2912.5
FDO49,OUT013,950.25
FDL04,OUT019,369.25
DRM48,OUT035,1070.5
FDR16,OUT013,3436.25
NCC19,OUT018,2626.25
NCE42,OUT045,3662.5
FDY24,OUT017,1161.75
FDH19,OUT049,2812.0
FDJ46,OUT013,2737.25
FDN45,OUT010,1531.0
FDY08,OUT035,2573.5
FDZ37,OUT035,1718.5
NCT30,OUT045,610.5
DRY23,OUT018,244.25
NCZ30,OUT018,1864.25
FDC44,OUT018,1570.25
FDB45,OUT035,1939.5
FDY04,OUT013,2791.25
FDM27,OUT046,2484.25
FDZ43,OUT017,4067.75
FDT39,OUT019,452.75
NCC06,OUT019,31.25
FDL15,OUT027,3812.75
FDL57,OUT017,4113.75
FDU08,OUT046,1656.0
FDK40,OUT017,4279.75
FDQ12,OUT010,1742.5
FDS48,OUT017,2507.75
FDP09,OUT045,3246.5
FDW21,OUT049,1678.0
FDY25,OUT035,3194.5
DRE13,OUT017,1465.75
FDV43,OUT019,1129.25
FDD22,OUT045,1745.5
FDM46,OUT019,568.25
NCO30,OUT010,1089.75
FDM25,OUT046,2800.5
NCN41,OUT049,2072.0
FDU24,OUT045,1480.5
FDZ50,OUT046,2953.0
FDP45,OUT013,4016.25
NCM54,OUT045,2059.5
FDW10,OUT019,784.75
FDP20,OUT017,2145.75
FDK32,OUT046,2528.75
FDN52,OUT049,1446.5
FDM58,OUT045,1664.5
FDZ46,OUT027,3288.75
NCA18,OUT018,1594.25
FDD35,OUT046,1985.0
NCK31,OUT035,971.5
FDI40,OUT027,3192.75
FDT50,OUT019,497.25
NCT06,OUT046,2510.25
FDT31,OUT035,3076.5
FDT45,OUT049,870.0
FDT13,OUT045,2836.5
FDO50,OUT045,1366.5
NCU18,OUT010,574.25
NCR54,OUT049,3204.0
NCO18,OUT018,2636.25
FDU09,OUT045,931.5
FDT13,OUT018,2648.25
FDE09,OUT046,1969.0
NCK53,OUT019,263.25
FDG45,OUT049,3448.0
DRH15,OUT035,844.5
FDO21,OUT019,1616.75
FDD14,OUT027,4402.75
FDC09,OUT046,1749.25
FDH45,OUT027,2158.75
FDV32,OUT046,1132.0
FDG12,OUT035,2056.5
FDS32,OUT013,2372.25
NCL55,OUT018,3790.25
DRE01,OUT035,3936.5
DRE15,OUT049,1311.0
NCL42,OUT045,3990.5
FDP31,OUT013,1111.25
FDN33,OUT018,1208.25
FDZ59,OUT046,2713.5
FDE45,OUT010,1075.0
FDJ07,OUT013,1906.25
FDQ45,OUT018,2768.25
FDM33,OUT027,4799.75
FDO15,OUT010,676.5
FDM46,OUT013,1410.25
FDR03,OUT045,3293.5
FDY49,OUT018,2602.25
FDQ60,OUT045,1909.5
FDW10,OUT049,2817.0
FDO51,OUT049,838.5
FDJ40,OUT018,1450.25
FDS20,OUT018,2666.25
FDU45,OUT013,1922.25
FDV02,OUT035,2807.5
FDN09,OUT046,3755.25
NCM55,OUT027,4442.75
FDN23,OUT018,2042.25
FDY31,OUT010,565.5
FDW03,OUT010,208.75
FDD14,OUT046,2941.5
FDV23,OUT017,2163.75
DRI03,OUT045,2862.5
FDN13,OUT035,1760.5
FDF45,OUT027,2495.75
FDU46,OUT035,1647.5
FDB57,OUT049,3758.0
FDV12,OUT049,1774.5
FDQ58,OUT013,2503.25
NCA18,OUT017,1939.75
FDH52,OUT049,1033.5
FDM24,OUT018,2062.25
NCP43,OUT027,4299.75
NCO18,OUT019,955.75
FDM32,OUT017,1529.75
NCL07,OUT017,847.75
FDK03,OUT013,4047.25
FDP59,OUT017,1779.75
FDQ24,OUT049,4083.0
FDQ16,OUT018,1522.25
FDU44,OUT013,2704.25
FDH28,OUT010,1355.5
FDV28,OUT019,1298.25
FDM22,OUT045,780.5
FDR56,OUT046,3207.75
FDV39,OUT049,3272.5
FDU37,OUT019,532.25
FDQ11,OUT010,2235.5
FDX02,OUT045,3409.5
NCS42,OUT018,1150.25
FDY57,OUT027,3134.75
FDB21,OUT049,3978.5
FDE28,OUT017,3853.75
FDQ55,OUT017,2063.75
FDA48,OUT049,3566.5
FDZ19,OUT045,2803.5
NCC43,OUT045,3751.5
NCV18,OUT046,1405.75
NCA42,OUT018,2248.25
FDY45,OUT046,4176.75
NCC30,OUT045,2627.5
FDM57,OUT013,1371.25
FDL09,OUT010,653.25
FDB09,OUT027,3532.75
FDT44,OUT035,1980.5
NCT06,OUT027,3948.75
FDX26,OUT049,2936.0
FDK32,OUT013,2605.25
DRA12,OUT046,2186.25
FDO46,OUT010,1048.75
FDE52,OUT013,1554.25
NCH42,OUT045,3281.5
FDV08,OUT035,946.5
FDB47,OUT018,3118.25
FDC28,OUT010,172.75
FDD22,OUT046,1840.25
FDS07,OUT027,3320.75
DRI13,OUT045,3525.5
FDG32,OUT018,3216.25
FDU14,OUT017,4005.75
FDD28,OUT019,944.25
NCP41,OUT017,1885.75
FDS08,OUT049,2910.0
FDX47,OUT045,2532.5
FDC53,OUT019,305.25
FDQ19,OUT035,4100.5
FDL14,OUT045,2395.5
FDM33,OUT019,1461.75
FDA51,OUT045,1678.5
FDZ27,OUT018,562.25
FDT04,OUT046,548.75
DRC13,OUT049,1896.5
FDR16,OUT027,4873.75
FDQ03,OUT027,5272.75
FDE38,OUT035,2976.5
DRH23,OUT027,2218.75
FDT11,OUT019,1033.75
FDD09,OUT035,3082.5
FDR40,OUT045,1312.5
FDX07,OUT017,3121.75
FDR07,OUT035,1785.5
FDA51,OUT017,1859.75
FDT59,OUT019,1655.75
FDF20,OUT017,3205.75
FDR13,OUT045,1895.5
FDY26,OUT049,3534.5
FDW04,OUT017,2125.75
FDK52,OUT017,3691.75
FDN60,OUT049,2508.5
FDM09,OUT019,727.75
FDP46,OUT049,1466.5
FDB50,OUT019,587.25
NCQ29,OUT049,4208.5
FDP16,OUT027,5244.75
FDX33,OUT018,2346.25
FDP07,OUT010,1161.0
FDN22,OUT046,3915.25
FDF39,OUT049,4159.0
FDS21,OUT017,1159.75
NCM42,OUT013,1880.25
FDK50,OUT019,760.75
DRF13,OUT027,3791.75
FDH35,OUT018,2256.25
FDP60,OUT018,1288.25
DRJ49,OUT027,3449.75
NCT42,OUT019,345.75
FDE38,OUT049,2915.5
FDI04,OUT049,3383.0
NCH54,OUT045,2148.5
FDT56,OUT049,1033.5
DRD15,OUT018,3338.25
FDV58,OUT013,3147.25
FDP21,OUT049,3066.0
FDH05,OUT013,3640.25
FDR10,OUT027,4052.75
NCP06,OUT045,2359.5
FDF33,OUT049,1990.5
DRK37,OUT013,3080.25
DRH49,OUT045,1268.5
FDT58,OUT013,2586.25
FDD41,OUT018,1458.25
FDP40,OUT018,1488.25
FDM51,OUT027,3049.75
FDO45,OUT010,537.75
FDW33,OUT010,300.75
FDY24,OUT045,1000.5
FDB10,OUT010,1872.25
FDM40,OUT035,2258.5
NCI06,OUT017,2729.75
FDW12,OUT019,345.75
FDX48,OUT027,3963.75
NCW05,OUT027,3009.75
FDX27,OUT017,1615.75
DRM37,OUT045,3358.5
FDA38,OUT045,3658.5
FDR36,OUT046,728.25
FDZ45,OUT046,3212.0
FDG05,OUT017,2579.75
FDK28,OUT013,4124.25
FDV47,OUT045,1389.5
FDN21,OUT045,2411.5
FDP20,OUT027,3475.75
FDI35,OUT045,2947.5
DRY23,OUT013,569.25
FDA56,OUT017,2097.75
FDB09,OUT013,2108.25
NCO26,OUT027,3378.75
FDQ49,OUT018,2428.25
FDI52,OUT027,3492.75
FDZ44,OUT027,3441.75
FDZ09,OUT018,2412.25
FDY03,OUT049,2097.5
NCG42,OUT017,2121.75
DRI13,OUT027,5050.75
FDQ32,OUT013,2189.25
FDW16,OUT035,1577.5
FDU27,OUT046,838.0
FDR28,OUT010,727.5
FDQ49,OUT010,793.0
FDS37,OUT046,1896.5
FDW26,OUT018,3112.25
FDX12,OUT018,3606.25
NCP06,OUT013,2490.25
FDW45,OUT010,328.0
NCN30,OUT049,1667.0
FDN24,OUT049,887.0
NCL41,OUT027,2142.75
FDR02,OUT019,183.25
FDD09,OUT010,1032.0
FDS33,OUT010,481.5
FDU22,OUT045,1861.5
FDI53,OUT013,2752.25
DRH01,OUT049,2841.5
FDX32,OUT013,2412.25
NCP30,OUT018,460.25
FDB60,OUT045,3087.5
FDB14,OUT049,1725.5
NCP02,OUT035,1153.5
FDJ10,OUT017,2307.75
FDG34,OUT046,1759.25
NCB18,OUT017,1487.75
FDM16,OUT049,1231.5
FDW25,OUT018,1070.25
FDB35,OUT010,352.25
DRN11,OUT013,2183.25
FDF41,OUT019,1901.75
FDH16,OUT045,1247.5
NCQ50,OUT018,3180.25
DRH23,OUT018,518.25
DRJ37,OUT013,2376.25
DRJ24,OUT027,4273.75
FDY16,OUT035,3202.5
FDQ27,OUT045,1735.5
FDZ33,OUT045,2358.5
FDF29,OUT045,2028.5
FDA08,OUT049,2754.0
FDG31,OUT046,1023.5
FDE34,OUT019,1103.75
NCR30,OUT027,2672.75
FDV33,OUT035,4310.5
DRZ24,OUT018,1576.25
NCL54,OUT035,3055.5
FDR12,OUT049,2915.0
NCC54,OUT046,3625.5
DRN59,OUT013,696.25
FDX50,OUT019,210.25
FDV31,OUT027,4336.75
NCA29,OUT027,4169.75
FDW60,OUT049,2877.0
FDX08,OUT017,3057.75
DRD49,OUT013,3692.25
FDD33,OUT046,3705.5
FDW35,OUT013,724.25
FDJ36,OUT017,1721.75
FDV51,OUT035,2852.5
FDW36,OUT046,1630.25
FDH35,OUT046,2533.5
NCS30,OUT027,3443.75
FDN49,OUT017,815.75
FDL08,OUT018,3570.25
FDI09,OUT013,4203.25
FDP19,OUT018,1770.25
FDU21,OUT010,1293.5
NCP41,OUT045,1689.5
FDY10,OUT013,1983.25
FDP12,OUT018,354.25
NCN26,OUT049,1997.0
FDK44,OUT013,2874.25
FDC28,OUT049,1823.0
FDJ41,OUT027,5512.75
NCT29,OUT035,1991.5
NCH42,OUT019,1402.75
FDU60,OUT018,2454.25
FDS02,OUT045,2946.5
FDC51,OUT046,1958.5
FDU03,OUT013,3013.25
FDX39,OUT045,3357.5
NCY05,OUT010,1191.25
NCL06,OUT027,5690.75
FDD32,OUT035,1570.5
NCN41,OUT045,1911.5
NCX53,OUT049,2314.0
FDU57,OUT019,518.75
FDQ23,OUT046,1750.25
FDQ52,OUT045,3865.5
FDC14,OUT045,703.5
FDY09,OUT035,3096.5
FDQ28,OUT045,2486.5
FDV25,OUT046,3559.5
FDJ07,OUT035,1980.5
DRB25,OUT049,1545.0
FDK52,OUT019,1641.75
FDY52,OUT027,2596.75
FDB28,OUT046,3099.0
FDT36,OUT035,644.5
FDV25,OUT017,3681.75
NCN07,OUT027,3506.75
FDC57,OUT017,3255.75
FDQ03,OUT018,3574.25
FDU23,OUT017,2813.75
NCX41,OUT035,3474.5
NCD06,OUT035,832.5
FDW08,OUT045,1596.5
NCU29,OUT017,2645.75
NCE06,OUT013,2593.25
FDV52,OUT010,3.0
FDB02,OUT017,3045.75
NCR18,OUT045,697.5
FDK16,OUT049,1625.5
NCQ29,OUT010,2180.75
FDZ01,OUT019,81.25
FDW27,OUT035,2615.5
FDD17,OUT018,3500.25
FDW39,OUT013,2839.25
DRH59,OUT045,980.5
FDS52,OUT013,1664.25
FDU40,OUT027,4534.75
NCF54,OUT013,2638.25
FDH46,OUT045,1551.5
NCP14,OUT049,1785.5
FDH50,OUT049,3021.0
DRF15,OUT010,514.25
FDV27,OUT027,2959.75
NCJ06,OUT049,2004.5
FDN02,OUT018,2952.25
FDQ51,OUT049,983.0
FDQ07,OUT017,3745.75
FDS45,OUT049,1837.0
NCJ06,OUT045,1861.5
FDD36,OUT035,2064.5
FDY25,OUT045,3000.5
FDU52,OUT046,2452.25
DRK47,OUT017,3633.75
NCL30,OUT017,2313.75
FDN22,OUT035,4082.5
NCF30,OUT027,3279.75
FDK03,OUT035,4202.5
FDT45,OUT017,909.75
NCC54,OUT027,5035.75
FDP08,OUT018,2860.25
FDU44,OUT046,2698.25
DRG39,OUT035,1108.5
FDU32,OUT049,2115.0
FDY27,OUT049,2982.0
NCP54,OUT013,2060.25
NCZ41,OUT049,2262.5
DRL49,OUT013,2251.25
FDI05,OUT018,1114.25
FDY56,OUT045,3729.5
DRC13,OUT013,1848.25
NCV29,OUT017,3025.75
FDR24,OUT049,1604.0
FDZ34,OUT018,2832.25
FDP37,OUT035,2208.5
FDX08,OUT027,4373.75
FDS57,OUT045,2177.5
NCG18,OUT049,1687.0
FDK25,OUT018,2580.25
FDH53,OUT049,1353.0
DRI59,OUT018,3312.25
FDA52,OUT046,2787.75
FDT20,OUT010,1331.25
FDE36,OUT019,831.75
FDI24,OUT017,2991.75
FDB28,OUT018,2864.25
FDV11,OUT017,3013.75
FDP01,OUT046,2549.25
FDD34,OUT027,4052.75
FDJ50,OUT027,2292.75
FDZ44,OUT013,2060.25
DRO59,OUT035,1612.5
DRB48,OUT045,405.5
FDR21,OUT018,2550.25
NCE42,OUT010,1802.0
FDO23,OUT046,1442.75
NCE30,OUT018,3082.25
FDQ22,OUT035,848.5
FDY01,OUT045,1968.5
FDS08,OUT017,2961.75
FDG28,OUT018,3596.25
FDQ51,OUT018,660.25
FDB05,OUT017,4053.75
FDO56,OUT049,1984.5
FDE02,OUT018,1382.25
FDN45,OUT017,3545.75
FDS09,OUT013,900.25
NCA54,OUT018,2596.25
FDP09,OUT010,1405.0
FDC53,OUT045,1518.5
NCM55,OUT017,3099.75
FDL09,OUT018,2364.25
FDA11,OUT019,437.25
FDA50,OUT045,1362.5
FDC23,OUT017,2955.75
FDE22,OUT049,2750.0
FDD23,OUT046,3036.5
NCA29,OUT049,2819.5
FDK38,OUT046,2409.5
DRC13,OUT046,1750.0
NCP43,OUT049,2920.5
FDX28,OUT049,1667.5
FDF08,OUT049,1601.5
FDZ33,OUT046,2434.75
FDD10,OUT049,3009.0
FDO58,OUT017,2621.75
FDI50,OUT017,3953.75
FDO58,OUT045,2503.5
FDX08,OUT013,2976.25
NCK17,OUT010,1204.25
FDF39,OUT035,4237.5
FDU45,OUT010,47.75
NCJ18,OUT018,1572.25
DRC27,OUT019,1699.75
DRC25,OUT035,1288.5
FDU59,OUT035,2742.5
FDU28,OUT035,3195.5
NCP30,OUT046,737.5
FDB39,OUT018,642.25
FDE41,OUT013,1583.25
DRH11,OUT010,1139.0
FDA58,OUT045,3624.5
FDU50,OUT046,1837.75
FDM34,OUT013,2014.25
FDM44,OUT027,3033.75
FDR39,OUT045,2887.5
FDM25,OUT045,2768.5
FDQ49,OUT049,2781.0
DRH25,OUT018,588.25
FDM09,OUT027,4097.75
FDL44,OUT019,613.75
NCR42,OUT018,330.25
DRL59,OUT046,696.25
FDX43,OUT013,2762.25
DRK47,OUT010,1600.25
FDU48,OUT018,1858.25
FDY12,OUT045,921.5
NCN43,OUT018,1688.25
NCM55,OUT018,2698.25
FDQ21,OUT027,3458.75
FDX13,OUT035,4158.5
NCK30,OUT027,5481.75
FDG20,OUT049,2892.5
DRG27,OUT017,843.75
FDY14,OUT018,3962.25
FDP59,OUT035,1838.5
FDU60,OUT017,2845.75
NCC18,OUT019,608.75
DRJ39,OUT017,3451.75
FDS07,OUT049,1943.5
FDM08,OUT027,4945.75
FDP51,OUT045,1869.5
FDU16,OUT035,1525.5
FDH12,OUT013,1654.25
DRE48,OUT010,1165.25
NCL42,OUT027,5456.75
FDR21,OUT045,2780.5
NCW29,OUT035,2125.5
FDO11,OUT013,4006.25
NCM31,OUT049,2382.5
FDV35,OUT019,586.75
FDF58,OUT017,1095.75
NCE43,OUT049,2765.5
FDA02,OUT035,2408.5
DRL37,OUT010,1252.25
FDR24,OUT018,1284.25
FDW59,OUT049,1403.5
FDS22,OUT049,903.5
FDW24,OUT017,857.75
FDU24,OUT035,1720.5
FDA21,OUT027,4380.75
FDH58,OUT027,3234.75
FDW36,OUT018,1330.25
FDI45,OUT027,4364.75
FDU01,OUT018,2784.25
FDF35,OUT027,3138.75
FDU43,OUT019,1935.75
FDE24,OUT019,478.75
FDK50,OUT049,2761.5
FDG31,OUT045,933.5
FDC60,OUT045,1420.5
FDL36,OUT013,1404.25
FDP21,OUT013,3053.25
FDW16,OUT045,1351.5
FDX02,OUT017,3595.75
FDQ58,OUT027,3949.75
FDT51,OUT046,1739.25
FDD59,OUT049,1454.0
NCM42,OUT018,1600.25
FDA57,OUT018,406.25
FDZ48,OUT035,2015.5
FDE46,OUT045,2494.5
NCZ30,OUT019,199.75
FDB56,OUT017,3219.75
FDA25,OUT027,3181.75
FDD20,OUT013,2115.25
FDL25,OUT013,1575.25
NCO18,OUT049,2973.0
FDJ45,OUT017,849.75
FDR12,OUT035,2934.5
NCF19,OUT010,1286.75
FDK25,OUT046,2800.0
NCR17,OUT046,1835.25
FDC52,OUT046,2406.5
NCA54,OUT017,2959.75
FDR45,OUT010,1895.75
NCM19,OUT049,1959.5
FDF39,OUT027,5547.75
FDX23,OUT049,1663.0
FDD58,OUT027,3077.75
FDX28,OUT013,1631.25
NCD31,OUT013,2545.25
FDU57,OUT018,2200.25
FDI27,OUT046,870.0
NCM42,OUT046,1845.0
FDD32,OUT027,2884.75
FDI34,OUT013,3827.25
NCM29,OUT049,2258.5
FDG46,OUT018,1548.25
DRC01,OUT010,1286.5
FDB15,OUT027,5553.75
